id,title,url,thumbnail
35,"Network Solids and Carbon: Crash Course Chemistry #34","https://www.youtube.com/watch?v=b_SXwfHQ774","https://i.ytimg.com/vi/b_SXwfHQ774/hqdefault.jpg"
36,"Silicon - The Internet's Favorite Element: Crash Course Chemistry #35","https://www.youtube.com/watch?v=kdy3RsZk7As","https://i.ytimg.com/vi/kdy3RsZk7As/hqdefault.jpg"
37,"Electrochemistry: Crash Course Chemistry #36","https://www.youtube.com/watch?v=IV4IUsholjg","https://i.ytimg.com/vi/IV4IUsholjg/hqdefault.jpg"
38,"The History of Atomic Chemistry: Crash Course Chemistry #37","https://www.youtube.com/watch?v=thnDxFdkzZs","https://i.ytimg.com/vi/thnDxFdkzZs/hqdefault.jpg"
39,"Nuclear Chemistry: Crash Course Chemistry #38","https://www.youtube.com/watch?v=KWAsz59F8gA","https://i.ytimg.com/vi/KWAsz59F8gA/hqdefault.jpg"
40,"Nuclear Chemistry Part 2 - Fusion and Fission: Crash Course Chemistry #39","https://www.youtube.com/watch?v=FU6y1XIADdg","https://i.ytimg.com/vi/FU6y1XIADdg/hqdefault.jpg"
41,"Hydrocarbon Power!: Crash Course Chemistry #40","https://www.youtube.com/watch?v=UloIw7dhnlQ","https://i.ytimg.com/vi/UloIw7dhnlQ/hqdefault.jpg"
42,"Alkenes & Alkynes: Crash Course Chemistry #41","https://www.youtube.com/watch?v=CEH3O6l1pbw","https://i.ytimg.com/vi/CEH3O6l1pbw/hqdefault.jpg"
43,"Aromatics & Cyclic Compounds: Crash Course Chemistry #42","https://www.youtube.com/watch?v=kXFEex-dABU","https://i.ytimg.com/vi/kXFEex-dABU/hqdefault.jpg"
44,"Hydrocarbon Derivatives: Crash Course Chemistry #43","https://www.youtube.com/watch?v=hlXc_eEtBHA","https://i.ytimg.com/vi/hlXc_eEtBHA/hqdefault.jpg"
45,"Nomenclature: Crash Course Chemistry #44","https://www.youtube.com/watch?v=U7wavimfNFE","https://i.ytimg.com/vi/U7wavimfNFE/hqdefault.jpg"
46,"Polymers: Crash Course Chemistry #45","https://www.youtube.com/watch?v=rHxxLYzJ8Sw","https://i.ytimg.com/vi/rHxxLYzJ8Sw/hqdefault.jpg"
47,"The Global Carbon Cycle: Crash Course Chemistry #46","https://www.youtube.com/watch?v=aLuSi_6Ol8M","https://i.ytimg.com/vi/aLuSi_6Ol8M/hqdefault.jpg"
